X,Y,Z,Density,Momentum_X,Momentum_Y,Momentum_Z,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Laminar_Viscosity,Skin_Friction_Coefficient_X,Skin_Friction_Coefficient_Y,Skin_Friction_Coefficient_Z,Heat_Flux,Y_Plus,Eddy_Viscosity
9.700840711593627930e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.928005933761596680e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500019073486328125e+00,0.000000000000000000e+00,1.000007629394531250e+00,1.007259368896484375e+00,0.000000000000000000e+00,2.735609887167811394e-04,4.759238336760063248e-08,2.709332155063748360e-03,0.000000000000000000e+00,0.000000000000000000e+00,-1.062824010848999023e+00,9.117456525564193726e-02,0.000000000000000000e+00
9.700840711593627930e-01,4.999999987376213539e-07,0.000000000000000000e+00,9.928007125854492188e-01,7.912521832622587681e-04,-2.257915809877886204e-08,0.000000000000000000e+00,2.500019550323486328e+00,1.791814141505199132e-09,1.000007748603820801e+00,1.007259249687194824e+00,6.711478345096111298e-04,2.761970972642302513e-04,4.759237981488695368e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.595569677716252953e-16
9.700840711593627930e-01,1.000465204015199561e-06,0.000000000000000000e+00,9.928008913993835449e-01,1.583240693435072899e-03,1.037341434972915977e-09,0.000000000000000000e+00,2.500020503997802734e+00,3.585292951413521223e-09,1.000007748603820801e+00,1.007259011268615723e+00,1.342920120805501938e-03,2.754703746177256107e-04,4.759237270945959608e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.160634730759069436e-15
9.700840711593627930e-01,1.501861106589785777e-06,0.000000000000000000e+00,9.928012490272521973e-01,2.376702614128589630e-03,-1.626714207780821653e-09,0.000000000000000000e+00,2.500022172927856445e+00,5.382103651641045872e-09,1.000007748603820801e+00,1.007258772850036621e+00,2.015941776335239410e-03,2.756610629148781300e-04,4.759236205131855968e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.112851011498977777e-14
9.700840711593627930e-01,2.004654106713132933e-06,0.000000000000000000e+00,9.928017258644104004e-01,3.172376193106174469e-03,-8.245643612347919316e-10,0.000000000000000000e+00,2.500024318695068359e+00,7.183915684549901925e-09,1.000007748603820801e+00,1.007258296012878418e+00,2.690839115530252457e-03,2.756406320258975029e-04,4.759234428775016568e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.706631371132878994e-14
9.700840711593627930e-01,2.509312253096140921e-06,0.000000000000000000e+00,9.928023219108581543e-01,3.971001133322715759e-03,-8.754333369331845915e-10,0.000000000000000000e+00,2.500027179718017578e+00,8.992403266461224121e-09,1.000007748603820801e+00,1.007257699966430664e+00,3.368239384144544601e-03,2.756476169452071190e-04,4.759232297146809287e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.646495033412812004e-13
9.700840711593627930e-01,3.016304617631249130e-06,0.000000000000000000e+00,9.928030371665954590e-01,4.773320164531469345e-03,-7.687346870177691471e-10,0.000000000000000000e+00,2.500030755996704102e+00,1.080924860730192449e-08,1.000007748603820801e+00,1.007256865501403809e+00,4.048772156238555908e-03,2.756473259069025517e-04,4.759229454975866247e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.437442116973471462e-13
9.700840711593627930e-01,3.526103228068677709e-06,0.000000000000000000e+00,9.928039312362670898e-01,5.580078344792127609e-03,-6.318243706004977867e-10,0.000000000000000000e+00,2.500035047531127930e+00,1.263613924606943328e-08,1.000007748603820801e+00,1.007256031036376953e+00,4.733069334179162979e-03,2.756477915681898594e-04,4.759226257533555327e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.419557268579068054e-13
9.700840711593627930e-01,4.039182385895401239e-06,0.000000000000000000e+00,9.928049445152282715e-01,6.392023526132106781e-03,-4.280761300989865958e-10,0.000000000000000000e+00,2.500039815902709961e+00,1.447477337990221713e-08,1.000007748603820801e+00,1.007254958152770996e+00,5.421765148639678955e-03,2.756479952950030565e-04,4.759222704819876526e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.105315383491400905e-12
9.700840711593627930e-01,4.556018666335148737e-06,0.000000000000000000e+00,9.928060770034790039e-01,7.209908682852983475e-03,-1.593900150753668754e-10,0.000000000000000000e+00,2.500045537948608398e+00,1.632686164043661847e-08,1.000007748603820801e+00,1.007253766059875488e+00,6.115498486906290054e-03,2.756482281256467104e-04,4.759218441563461965e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.789116164246928875e-12
9.700840711593627930e-01,5.077094101579859853e-06,0.000000000000000000e+00,9.928073883056640625e-01,8.034490980207920074e-03,1.774067837079229548e-10,0.000000000000000000e+00,2.500051736831665039e+00,1.819412176473633735e-08,1.000007748603820801e+00,1.007252454757690430e+00,6.814910564571619034e-03,2.756484318524599075e-04,4.759213467764311645e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.758909420363941933e-12
9.700840711593627930e-01,5.602892542810877785e-06,0.000000000000000000e+00,9.928088784217834473e-01,8.866530843079090118e-03,5.844911221686288627e-10,0.000000000000000000e+00,2.500058889389038086e+00,2.007829280614714662e-08,1.000007748603820801e+00,1.007251024246215820e+00,7.520647253841161728e-03,2.756486646831035614e-04,4.759208138693793444e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.091677517636949091e-12
9.700840711593627930e-01,6.133903298177756369e-06,0.000000000000000000e+00,9.928104877471923828e-01,9.706797078251838684e-03,1.063474863727265074e-09,0.000000000000000000e+00,2.500066757202148438e+00,2.198112625251269492e-08,1.000007748603820801e+00,1.007249355316162109e+00,8.233359083533287048e-03,2.756488684099167585e-04,4.759202099080539483e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.877201503245998992e-12
9.700840711593627930e-01,6.670620678050909191e-06,0.000000000000000000e+00,9.928122758865356445e-01,1.055606082081794739e-02,1.615915290464897680e-09,0.000000000000000000e+00,2.500075340270996094e+00,2.390438780253134610e-08,1.000007748603820801e+00,1.007247567176818848e+00,8.953701704740524292e-03,2.756491012405604124e-04,4.759195704195917642e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.219640246220905055e-12
9.700840711593627930e-01,7.213543540274258703e-06,0.000000000000000000e+00,9.928142428398132324e-01,1.141510251909494400e-02,2.244567198772529082e-09,0.000000000000000000e+00,2.500084877014160156e+00,2.584986447118353681e-08,1.000007748603820801e+00,1.007245540618896484e+00,9.682335890829563141e-03,2.756493049673736095e-04,4.759188243497192161e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.123934712660146218e-11
9.700840711593627930e-01,7.763177563901990652e-06,0.000000000000000000e+00,9.928163886070251465e-01,1.228470634669065475e-02,2.952548427970214107e-09,0.000000000000000000e+00,2.500095367431640625e+00,2.781936636608861591e-08,1.000007748603820801e+00,1.007243394851684570e+00,1.041992567479610443e-02,2.756495377980172634e-04,4.759180427527098800e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.507495343833209489e-11
9.700840711593627930e-01,8.320033884956501424e-06,0.000000000000000000e+00,9.928187131881713867e-01,1.316566299647092819e-02,3.743291010493976501e-09,0.000000000000000000e+00,2.500106573104858398e+00,2.981472135843432625e-08,1.000007748603820801e+00,1.007241010665893555e+00,1.116714254021644592e-02,2.756497706286609173e-04,4.759171901014269679e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.988574062361525563e-11
9.700840711593627930e-01,8.884630005923099816e-06,0.000000000000000000e+00,9.928212761878967285e-01,1.405877247452735901e-02,4.620549276523888693e-09,0.000000000000000000e+00,2.500118732452392578e+00,3.183778574111784110e-08,1.000007748603820801e+00,1.007238388061523438e+00,1.192466448992490768e-02,2.756500034593045712e-04,4.759162663958704798e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.585434991098090052e-11
9.700840711593627930e-01,9.457491614739410579e-06,0.000000000000000000e+00,9.928240180015563965e-01,1.496483851224184036e-02,5.588415508128719011e-09,0.000000000000000000e+00,2.500132083892822266e+00,3.389043712331840652e-08,1.000007748603820801e+00,1.007235646247863770e+00,1.269317325204610825e-02,2.756502362899482250e-04,4.759152361089036276e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.318983976541289849e-11
9.700840711593627930e-01,1.003915167530067265e-05,0.000000000000000000e+00,9.928269386291503906e-01,1.588467322289943695e-02,6.651335926477486282e-09,0.000000000000000000e+00,2.500146389007568359e+00,3.597457975956785958e-08,1.000007748603820801e+00,1.007232666015625000e+00,1.347335707396268845e-02,2.756504691205918789e-04,4.759141702947999875e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.213117701934443460e-11
9.700840711593627930e-01,1.063015133695444092e-05,0.000000000000000000e+00,9.928300976753234863e-01,1.681909337639808655e-02,7.814130675853903085e-09,0.000000000000000000e+00,2.500161647796630859e+00,3.809215343153482536e-08,1.000007748603820801e+00,1.007229447364807129e+00,1.426590885967016220e-02,2.756507019512355328e-04,4.759129978992859833e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.295117816439542935e-11
9.700840711593627930e-01,1.123103993450058624e-05,0.000000000000000000e+00,9.928335547447204590e-01,1.776892505586147308e-02,9.082014251760028856e-09,0.000000000000000000e+00,2.500178337097167969e+00,4.024512278988368053e-08,1.000007748603820801e+00,1.007225990295410156e+00,1.507152616977691650e-02,2.756509638857096434e-04,4.759117189223616151e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.596095197819451528e-11
9.700840711593627930e-01,1.184237771667540073e-05,0.000000000000000000e+00,9.928371906280517578e-01,1.873499341309070587e-02,1.046061992582281164e-08,0.000000000000000000e+00,2.500195980072021484e+00,4.243548445970191096e-08,1.000007748603820801e+00,1.007222294807434082e+00,1.589091308414936066e-02,2.756512258201837540e-04,4.759103688911636709e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.151493369190632166e-11
9.700840711593627930e-01,1.246473220817279071e-05,0.000000000000000000e+00,9.928411245346069336e-01,1.971813477575778961e-02,1.195602550296825939e-08,0.000000000000000000e+00,2.500215053558349609e+00,4.466527414592746936e-08,1.000007748603820801e+00,1.007218241691589355e+00,1.672477461397647858e-02,2.756514877546578646e-04,4.759089478056921507e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000165505971040147e-10
9.700840711593627930e-01,1.309868275711778551e-05,0.000000000000000000e+00,9.928453564643859863e-01,2.071918733417987823e-02,1.357477774632798173e-08,0.000000000000000000e+00,2.500235557556152344e+00,4.693656308063509641e-08,1.000007748603820801e+00,1.007213950157165527e+00,1.757382042706012726e-02,2.756517496891319752e-04,4.759073846116734785e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.219246231753956522e-10
9.700840711593627930e-01,1.374481871607713401e-05,0.000000000000000000e+00,9.928498864173889160e-01,2.173898555338382721e-02,1.532392701619755826e-08,0.000000000000000000e+00,2.500257253646850586e+00,4.925145447032264201e-08,1.000007748603820801e+00,1.007209420204162598e+00,1.843876391649246216e-02,2.756520116236060858e-04,4.759057148362444423e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.477605260369330153e-10
9.700840711593627930e-01,1.440374217054340988e-05,0.000000000000000000e+00,9.928546547889709473e-01,2.277837321162223816e-02,1.721105569174596894e-08,0.000000000000000000e+00,2.500280618667602539e+00,5.161210125947945926e-08,1.000007748603820801e+00,1.007204532623291016e+00,1.932031288743019104e-02,2.756522735580801964e-04,4.759039384794050420e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.781162994873852767e-10
9.700840711593627930e-01,1.507606521045090631e-05,0.000000000000000000e+00,9.928598403930664062e-01,2.383818477392196655e-02,1.924431991540132003e-08,0.000000000000000000e+00,2.500305414199829102e+00,5.402068836701801047e-08,1.000007748603820801e+00,1.007199287414550781e+00,2.021917887032032013e-02,2.756525645963847637e-04,4.759020555411552778e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.136637256011653108e-10
9.700840711593627930e-01,1.576241447764914483e-05,0.000000000000000000e+00,9.928653240203857422e-01,2.491925470530986786e-02,2.143247712638185476e-08,0.000000000000000000e+00,2.500332117080688477e+00,5.647945044984226115e-08,1.000007748603820801e+00,1.007193684577941895e+00,2.113606780767440796e-02,2.756528556346893311e-04,4.759000304943583615e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.551644728843172061e-10
9.700840711593627930e-01,1.646342570893466473e-05,0.000000000000000000e+00,9.928711652755737305e-01,2.602240815758705139e-02,2.378493668686587625e-08,0.000000000000000000e+00,2.500360250473022461e+00,5.899067190284768003e-08,1.000007748603820801e+00,1.007187843322753906e+00,2.207167819142341614e-02,2.756531757768243551e-04,4.758978988661510812e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.034815732050333281e-10
9.700840711593627930e-01,1.717975464998744428e-05,0.000000000000000000e+00,9.928773641586303711e-01,2.714846283197402954e-02,2.631179718548537494e-08,0.000000000000000000e+00,2.500390529632568359e+00,6.155667620078020263e-08,1.000007748603820801e+00,1.007181525230407715e+00,2.302670106291770935e-02,2.756534668151289225e-04,4.758955896022598608e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.595921338472862772e-10
