y,mut
2.499999994000000183e-07,3.420370652999999980e-10
7.502325730000000313e-07,2.773843909999999931e-08
1.251163097999999950e-06,2.145569481999999935e-07
1.753257607000000072e-06,8.272916715999999886e-07
2.256983180000000131e-06,2.271837956999999941e-06
2.762808434999999830e-06,5.100990164999999743e-06
3.271203923000000059e-06,1.002461431000000015e-05
3.782642806999999961e-06,1.792264629000000099e-05
4.297600752999999816e-06,2.986111575999999900e-05
4.816556611000000020e-06,4.711143264999999720e-05
5.339993094999999740e-06,7.117322821000000117e-05
5.868397692999999578e-06,1.038010596000000021e-04
6.402261988000000273e-06,1.470354909999999939e-04
6.942082109000000208e-06,2.032387710999999952e-04
7.488360552000000217e-06,2.751359133999999778e-04
8.041605724000000234e-06,3.658616624000000169e-04
8.602331945000000785e-06,4.790138627999999867e-04
9.171060809999999247e-06,6.187142570999999529e-04
9.748321645000000815e-06,7.896774914000000319e-04
1.033465104999999959e-05,9.972892003000000550e-04
1.093059564000000028e-05,1.247694482999999951e-03
1.153670928000000064e-05,1.547897583999999953e-03
1.215355495999999923e-05,1.905874349000000016e-03
1.278170748000000083e-05,2.330700167999999982e-03
1.342175073999999958e-05,2.832691185000000157e-03
1.407428043999999943e-05,3.423566930000000036e-03
1.473990324000000000e-05,4.116630647000000046e-03
1.541924030000000061e-05,4.926971159999999836e-03
1.611291917999999835e-05,5.871691741000000138e-03
1.682159018000000124e-05,6.970164832000000192e-03
1.754590993999999922e-05,8.244314230999999493e-03
1.828655331000000149e-05,9.718939661999999313e-03
1.904420787000000052e-05,1.142206695000000036e-02
1.981958121000000018e-05,1.338534243000000061e-02
2.061339182999999924e-05,1.564447768000000114e-02
2.142637823000000124e-05,1.823973841999999845e-02
2.225929893000000063e-05,2.121647819999999962e-02
2.311292882999999915e-05,2.462574094999999894e-02
2.398805917999999966e-05,2.852491662000000011e-02
2.488550672000000151e-05,3.297846391999999932e-02
2.580610452999999857e-05,3.805871308000000064e-02
2.675071119000000137e-05,4.384671896999999680e-02
2.772020343000000011e-05,5.043318867999999761e-02
2.871548350000000132e-05,5.791953206000000076e-02
2.973747904999999949e-05,6.641893833999999719e-02
3.078714143999999994e-05,7.605753094000000658e-02
3.186544200000000315e-05,8.697564900000000210e-02
3.297338843999999798e-05,9.932913630999999632e-02
3.411201032999999967e-05,1.132907122000000044e-01
3.528236630000000136e-05,1.290514021999999983e-01
3.648554775000000054e-05,1.468220054999999913e-01
3.772267154999999834e-05,1.668345034000000005e-01
3.899488728999999770e-05,1.893434823000000045e-01
4.030338459000000045e-05,2.146275341999999975e-01
4.164937127000000074e-05,2.429905384999999918e-01
4.303410968999999786e-05,2.747626304999999935e-01
4.445888043999999986e-05,3.103012741000000241e-01
4.592501136000000215e-05,3.499916196000000257e-01
4.743386670999999802e-05,3.942469060000000081e-01
4.898685074000000064e-05,4.435081482000000075e-01
5.058540773000000178e-05,4.982433021000000073e-01
5.223102561999999952e-05,5.589460730999999960e-01
5.392523598999999861e-05,6.261335610999999579e-01
5.566961045000000272e-05,7.003434896000000354e-01
5.746577516999999994e-05,7.821305990000000374e-01
5.931540362999999862e-05,8.720620870999999941e-01
6.122021296000000341e-05,9.707118273000000519e-01
6.318197119999999635e-05,1.078654527999999946e+00
6.520251191000000232e-05,1.196458459000000030e+00
6.728371227000000583e-05,1.324677824999999975e+00
6.942750769999999933e-05,1.463844418999999952e+00
7.163589180000000465e-05,1.614459515000000067e+00
7.391091639999999418e-05,1.776984810999999942e+00
7.625470606999999875e-05,1.951834917000000003e+00
7.866942906000000098e-05,2.139369487999999819e+00
8.115734818000000462e-05,2.339886189000000005e+00
8.372076262999999488e-05,2.553615807999999987e+00
8.636206621000000450e-05,2.780718087999999977e+00
8.908371091999999359e-05,3.021279811999999954e+00
9.188822878000000205e-05,3.275314092999999982e+00
9.477823914000000434e-05,3.542762279999999819e+00
9.775641956000000036e-05,3.823498487000000168e+00
1.008255421999999969e-04,4.117334365999999690e+00
1.039884592000000000e-04,4.424026489000000062e+00
1.072481245999999959e-04,4.743286132999999793e+00
1.106075651000000039e-04,5.074786663000000253e+00
1.140699022999999972e-04,5.418178558000000145e+00
1.176383593999999960e-04,5.773095608000000212e+00
1.213162540999999949e-04,6.139167785999999793e+00
1.251070061999999929e-04,6.516033173000000289e+00
1.290141662999999973e-04,6.903344631000000398e+00
1.330413360999999929e-04,7.300781727000000387e+00
1.371922699000000109e-04,7.708054543000000258e+00
1.414708386000000011e-04,8.124914169000000186e+00
1.458810293000000022e-04,8.551155089999999959e+00
1.504269312000000027e-04,8.986620903000000382e+00
1.551127642999999996e-04,9.431203842000000392e+00
1.599429088000000113e-04,9.884848594999999349e+00
1.649218466000000128e-04,1.034755230000000026e+01
1.700542198000000004e-04,1.081936263999999959e+01
1.753448014000000114e-04,1.130037974999999939e+01
1.807984953999999930e-04,1.179075049999999969e+01
1.864203949999999877e-04,1.229066753000000034e+01
1.922157098000000009e-04,1.280036830999999964e+01
1.981898676999999955e-04,1.332013034999999945e+01
2.043483836999999980e-04,1.385026835999999939e+01
2.106970205000000050e-04,1.439113234999999946e+01
2.172416570999999980e-04,1.494310474000000077e+01
2.239884051999999884e-04,1.550659560999999975e+01
2.309435367000000087e-04,1.608204269000000153e+01
2.381135128000000020e-04,1.666990851999999990e+01
2.455050126000000109e-04,1.727067565999999843e+01
2.531248902000000022e-04,1.788484572999999855e+01
2.609802759000000153e-04,1.851294327000000095e+01
2.690784458999999893e-04,1.915549850000000021e+01
2.774269377999999788e-04,1.981306647999999981e+01
2.860335225999999947e-04,2.048620796000000155e+01
2.949062035999999764e-04,2.117549895999999876e+01
3.040532464999999747e-04,2.188152503999999965e+01
3.134831494999999789e-04,2.260488510000000062e+01
3.232046728999999935e-04,2.334617615000000157e+01
3.332268971000000232e-04,2.410601615999999936e+01
3.435591352000000212e-04,2.488501929999999973e+01
3.542109624999999879e-04,2.568381499999999917e+01
3.651923324999999955e-04,2.650302887000000140e+01
3.765134606999999910e-04,2.734329986999999917e+01
3.881848533999999952e-04,2.820526505000000128e+01
4.002173663999999877e-04,2.908956909000000124e+01
4.126222046999999732e-04,2.999686050000000037e+01
4.254109226000000132e-04,3.092778587000000101e+01
4.385953943999999750e-04,3.188299560999999827e+01
4.521879018000000169e-04,3.286314011000000335e+01
4.662010761000000172e-04,3.386887360000000058e+01
4.806479556000000167e-04,3.490084456999999674e+01
4.955420154000000346e-04,3.595970153999999752e+01
5.108970798999999847e-04,3.704609680000000083e+01
5.267274100000000426e-04,3.816066359999999946e+01
5.430477903999999601e-04,3.930405044999999831e+01
5.598733550999999802e-04,4.047688293000000215e+01
5.772197619000000307e-04,4.167978667999999942e+01
5.951031926000000059e-04,4.291337966999999765e+01
6.135402364000000367e-04,4.417827224999999913e+01
6.325480644999999886e-04,4.547505188000000231e+01
6.521443137999999914e-04,4.680430984000000194e+01
6.723473197999999635e-04,4.816661452999999682e+01
6.931758252999999743e-04,4.956251525999999785e+01
7.146491553000000000e-04,5.099254607999999678e+01
7.367873331999999584e-04,5.245722197999999992e+01
7.596109645000000219e-04,5.395703506000000260e+01
7.831412950000000159e-04,5.549245833999999888e+01
8.074001526000000204e-04,5.706393433000000215e+01
8.324101800000000472e-04,5.867187500000000000e+01
8.581946021999999931e-04,6.031666945999999996e+01
8.847774006000000066e-04,6.199867248999999703e+01
9.121833136000000305e-04,6.371820068000000248e+01
9.404378361000000205e-04,6.547554015999999422e+01
9.695672778999999504e-04,6.727093505999999934e+01
9.995986474999999944e-04,6.910458373999999537e+01
1.030560001000000022e-03,7.097665404999999339e+01
1.062480151000000025e-03,7.288723754999999471e+01
1.095388667000000028e-03,7.483643340999999793e+01
1.129316281999999958e-03,7.682423400999999785e+01
1.164294429999999979e-03,7.885059357000000091e+01
1.200355821999999923e-03,8.091543579000000364e+01
1.237533870000000072e-03,8.301860046000000182e+01
1.275863265999999932e-03,8.515987395999999876e+01
1.315379515000000095e-03,8.733898163000000636e+01
1.356119522999999893e-03,8.955557251000000463e+01
1.398121122999999941e-03,9.180924224999999694e+01
1.441423432000000062e-03,9.409951019000000372e+01
1.486066728999999986e-03,9.642581176999999570e+01
1.532092573999999964e-03,9.878749847000000273e+01
1.579543575999999960e-03,1.011838836999999955e+02
1.628464204000000092e-03,1.036141510000000068e+02
1.678899745000000032e-03,1.060774001999999996e+02
1.730897231000000066e-03,1.085726700000000022e+02
1.784504856999999953e-03,1.110988770000000017e+02
1.839772797999999999e-03,1.136548461999999944e+02
1.896752161000000037e-03,1.162392959999999960e+02
1.955496146999999990e-03,1.188508376999999996e+02
2.016059356000000045e-03,1.214879683999999997e+02
2.078498015000000178e-03,1.241490783999999934e+02
2.142870566000000185e-03,1.268324051000000026e+02
2.209236380000000055e-03,1.295360870000000091e+02
2.277657621999999889e-03,1.322580872000000056e+02
2.348197856999999830e-03,1.349962768999999980e+02
2.420922507999999970e-03,1.377483215000000030e+02
2.495899564000000122e-03,1.405117797999999993e+02
2.573198406000000178e-03,1.432839965999999947e+02
2.652890980000000183e-03,1.460621796000000074e+02
2.735051791999999933e-03,1.488433379999999886e+02
2.819756977000000085e-03,1.516242828000000031e+02
2.907085465000000101e-03,1.544016570999999942e+02
2.997118514000000119e-03,1.571718444999999917e+02
3.089939710000000079e-03,1.599310303000000033e+02
3.185635433000000034e-03,1.626752013999999917e+02
3.284294857000000147e-03,1.654000397000000078e+02
3.386009716999999891e-03,1.681009979000000101e+02
3.490874544000000142e-03,1.707733001999999942e+02
3.598987125000000040e-03,1.734118651999999940e+02
3.710447577999999823e-03,1.760113067999999998e+02
3.825360210999999896e-03,1.785659331999999893e+02
3.943831660000000038e-03,1.810697632000000112e+02
4.065971822000000006e-03,1.835164795000000026e+02
4.191894550000000233e-03,1.858994141000000013e+02
4.321717190999999764e-03,1.882115020999999899e+02
4.455560352999999793e-03,1.904453583000000094e+02
4.593548830999999964e-03,1.925931854000000101e+02
4.735810216999999586e-03,1.946467743000000041e+02
4.882477690000000363e-03,1.965974884000000031e+02
5.033687688000000084e-03,1.984362334999999860e+02
5.189579912000000413e-03,2.001534728999999970e+02
5.350300577000000404e-03,2.017392120000000091e+02
5.515998228999999774e-03,2.031829376000000025e+02
5.686827935000000368e-03,2.044736023000000102e+02
5.862948019000000129e-03,2.055996704000000079e+02
6.044522392999999820e-03,2.065489959999999883e+02
6.231720094000000112e-03,2.073089142000000038e+02
