log(y+),u+
-1.040389999999999926e+00,9.111909999999999454e-02
-7.391590000000000105e-01,1.823230000000000128e-01
-5.627309999999999812e-01,2.736959999999999948e-01
-4.373210000000000153e-01,3.653239999999999821e-01
-3.398059999999999969e-01,4.572919999999999763e-01
-2.598860000000000059e-01,5.496839999999999504e-01
-1.920659999999999867e-01,6.425880000000000480e-01
-1.330669999999999908e-01,7.360889999999999933e-01
-8.077520000000000533e-02,8.302730000000000388e-01
-3.374560000000000060e-02,9.252280000000000504e-01
9.051510000000000458e-03,1.021039999999999948e+00
4.837620000000000114e-02,1.117799999999999905e+00
8.480550000000000588e-02,1.215600000000000014e+00
1.187880000000000047e-01,1.314519999999999911e+00
1.506790000000000074e-01,1.414660000000000029e+00
1.807640000000000080e-01,1.516100000000000003e+00
2.092789999999999928e-01,1.618940000000000046e+00
2.364149999999999863e-01,1.723270000000000080e+00
2.623360000000000136e-01,1.829190000000000094e+00
2.871790000000000176e-01,1.936790000000000012e+00
3.110589999999999744e-01,2.046159999999999979e+00
3.340779999999999861e-01,2.157389999999999919e+00
3.563220000000000276e-01,2.270589999999999886e+00
3.778670000000000084e-01,2.385860000000000092e+00
3.987780000000000213e-01,2.503280000000000172e+00
4.191150000000000153e-01,2.622949999999999893e+00
4.389270000000000116e-01,2.744969999999999910e+00
4.582620000000000027e-01,2.869439999999999991e+00
4.771589999999999998e-01,2.996449999999999836e+00
4.956559999999999855e-01,3.126090000000000035e+00
5.137850000000000472e-01,3.258459999999999912e+00
5.315750000000000197e-01,3.393639999999999990e+00
5.490530000000000133e-01,3.531719999999999970e+00
5.662439999999999696e-01,3.672789999999999999e+00
5.831690000000000484e-01,3.816920000000000091e+00
5.998470000000000191e-01,3.964179999999999815e+00
6.162980000000000125e-01,4.114630000000000010e+00
6.325380000000000447e-01,4.268340000000000245e+00
6.485819999999999919e-01,4.425360000000000404e+00
6.644440000000000346e-01,4.585700000000000109e+00
6.801369999999999916e-01,4.749399999999999622e+00
6.956729999999999858e-01,4.916470000000000340e+00
7.110619999999999719e-01,5.086879999999999846e+00
7.263150000000000439e-01,5.260609999999999786e+00
7.414399999999999880e-01,5.437610000000000277e+00
7.564469999999999805e-01,5.617790000000000283e+00
7.713430000000000009e-01,5.801050000000000040e+00
7.861359999999999459e-01,5.987250000000000405e+00
8.008330000000000171e-01,6.176239999999999952e+00
8.154390000000000249e-01,6.367799999999999905e+00
8.299600000000000311e-01,6.561709999999999710e+00
8.444030000000000147e-01,6.757690000000000197e+00
8.587719999999999798e-01,6.955440000000000289e+00
8.730719999999999592e-01,7.154620000000000424e+00
8.873069999999999569e-01,7.354860000000000397e+00
9.014820000000000055e-01,7.555749999999999744e+00
9.155990000000000517e-01,7.756879999999999775e+00
9.296640000000000459e-01,7.957779999999999632e+00
9.436790000000000456e-01,8.158010000000000872e+00
9.576470000000000260e-01,8.357089999999999463e+00
9.715709999999999624e-01,8.554560000000000386e+00
9.854540000000000521e-01,8.749959999999999738e+00
9.992980000000000196e-01,8.942849999999999966e+00
1.013109999999999955e+00,9.132820000000000604e+00
1.026880000000000015e+00,9.319480000000000430e+00
1.040620000000000100e+00,9.502499999999999503e+00
1.054340000000000055e+00,9.681580000000000297e+00
1.068019999999999969e+00,9.856460000000000221e+00
1.081679999999999975e+00,1.002699999999999925e+01
1.095310000000000006e+00,1.019289999999999985e+01
1.108919999999999906e+00,1.035420000000000051e+01
1.122509999999999897e+00,1.051089999999999947e+01
1.136079999999999979e+00,1.066280000000000072e+01
1.149629999999999930e+00,1.081010000000000026e+01
1.163159999999999972e+00,1.095279999999999987e+01
1.176670000000000105e+00,1.109099999999999930e+01
1.190169999999999950e+00,1.122489999999999988e+01
1.203650000000000109e+00,1.135459999999999958e+01
1.217119999999999980e+00,1.148019999999999996e+01
1.230569999999999942e+00,1.160200000000000031e+01
1.244019999999999904e+00,1.172010000000000041e+01
1.257449999999999957e+00,1.183469999999999978e+01
1.270869999999999944e+00,1.194609999999999950e+01
1.284280000000000088e+00,1.205439999999999934e+01
1.297679999999999945e+00,1.215980000000000061e+01
1.311069999999999958e+00,1.226249999999999929e+01
1.324449999999999905e+00,1.236270000000000024e+01
1.337820000000000009e+00,1.246049999999999969e+01
1.351189999999999891e+00,1.255620000000000047e+01
1.364549999999999930e+00,1.264990000000000059e+01
1.377899999999999903e+00,1.274169999999999980e+01
1.391250000000000098e+00,1.283179999999999943e+01
1.404590000000000005e+00,1.292029999999999923e+01
1.417920000000000069e+00,1.300740000000000052e+01
1.431249999999999911e+00,1.309309999999999974e+01
1.444579999999999975e+00,1.317769999999999975e+01
1.457899999999999974e+00,1.326110000000000078e+01
1.471209999999999907e+00,1.334350000000000058e+01
1.484520000000000062e+00,1.342489999999999917e+01
1.497829999999999995e+00,1.350559999999999938e+01
1.511130000000000084e+00,1.358539999999999992e+01
1.524429999999999952e+00,1.366460000000000008e+01
1.537730000000000041e+00,1.374310000000000009e+01
1.551020000000000065e+00,1.382099999999999973e+01
1.564319999999999933e+00,1.389840000000000053e+01
1.577599999999999891e+00,1.397540000000000049e+01
1.590889999999999915e+00,1.405189999999999984e+01
1.604170000000000096e+00,1.412809999999999988e+01
1.617450000000000054e+00,1.420390000000000086e+01
1.630730000000000013e+00,1.427950000000000053e+01
1.644009999999999971e+00,1.435469999999999935e+01
1.657289999999999930e+00,1.442980000000000018e+01
