y,u
0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999999774e-07,3.364150000000000213e-03
1.000470000000000011e-06,6.731430000000000052e-03
1.501859999999999924e-06,1.010499999999999940e-02
2.004649999999999941e-06,1.348790000000000058e-02
2.509310000000000120e-06,1.688339999999999980e-02
3.016299999999999818e-06,2.029459999999999945e-02
3.526100000000000003e-06,2.372459999999999847e-02
4.039179999999999671e-06,2.717670000000000155e-02
4.556019999999999791e-06,3.065400000000000069e-02
5.077090000000000208e-06,3.415979999999999711e-02
5.602890000000000324e-06,3.769730000000000303e-02
6.133899999999999836e-06,4.126969999999999944e-02
6.670619999999999840e-06,4.488040000000000085e-02
7.213539999999999887e-06,4.853260000000000213e-02
7.763180000000000777e-06,5.222969999999999696e-02
8.320030000000000367e-06,5.597499999999999698e-02
8.884630000000000010e-06,5.977190000000000281e-02
9.457489999999999807e-06,6.362389999999999712e-02
1.003920000000000037e-05,6.753449999999999731e-02
1.063020000000000031e-05,7.150689999999999824e-02
1.123099999999999970e-05,7.554489999999999816e-02
1.184240000000000032e-05,7.965179999999999483e-02
1.246469999999999943e-05,8.383129999999999749e-02
1.309870000000000047e-05,8.808680000000000676e-02
1.374479999999999925e-05,9.242200000000000415e-02
1.440370000000000069e-05,9.684030000000000415e-02
1.507609999999999953e-05,1.013450000000000045e-01
1.576240000000000006e-05,1.059409999999999935e-01
1.646339999999999894e-05,1.106300000000000061e-01
1.717980000000000109e-05,1.154160000000000047e-01
1.791210000000000084e-05,1.203039999999999943e-01
1.866099999999999972e-05,1.252949999999999897e-01
1.942739999999999970e-05,1.303930000000000089e-01
2.021179999999999849e-05,1.356009999999999993e-01
2.101500000000000124e-05,1.409219999999999917e-01
2.183779999999999952e-05,1.463589999999999891e-01
2.268080000000000145e-05,1.519139999999999935e-01
2.354499999999999904e-05,1.575890000000000069e-01
2.443110000000000060e-05,1.633860000000000035e-01
2.533990000000000111e-05,1.693060000000000120e-01
2.627229999999999916e-05,1.753500000000000059e-01
2.722909999999999990e-05,1.815180000000000127e-01
2.821129999999999873e-05,1.878100000000000047e-01
2.921970000000000079e-05,1.942240000000000077e-01
3.025530000000000152e-05,2.007589999999999930e-01
3.131900000000000287e-05,2.074110000000000120e-01
3.241190000000000049e-05,2.141770000000000063e-01
3.353490000000000312e-05,2.210519999999999985e-01
3.468909999999999962e-05,2.280290000000000095e-01
3.587559999999999919e-05,2.351020000000000054e-01
3.709549999999999745e-05,2.422610000000000041e-01
3.834989999999999683e-05,2.494969999999999966e-01
3.963989999999999972e-05,2.567980000000000262e-01
4.096690000000000243e-05,2.641510000000000247e-01
4.233190000000000038e-05,2.715440000000000076e-01
4.373629999999999662e-05,2.789610000000000145e-01
4.518140000000000079e-05,2.863870000000000027e-01
4.666860000000000241e-05,2.938049999999999828e-01
4.819909999999999733e-05,3.011969999999999925e-01
4.977460000000000283e-05,3.085470000000000157e-01
5.139630000000000121e-05,3.158380000000000076e-01
5.306580000000000276e-05,3.230520000000000058e-01
5.478469999999999743e-05,3.301740000000000230e-01
5.655450000000000207e-05,3.371870000000000145e-01
5.837700000000000029e-05,3.440790000000000237e-01
6.025380000000000238e-05,3.508359999999999812e-01
6.218660000000000528e-05,3.574479999999999880e-01
6.417729999999999962e-05,3.639049999999999785e-01
6.622769999999999612e-05,3.701990000000000003e-01
6.833970000000000572e-05,3.763270000000000226e-01
7.051530000000000569e-05,3.822829999999999839e-01
7.275650000000000043e-05,3.880660000000000220e-01
7.506540000000000131e-05,3.936760000000000259e-01
7.744410000000000616e-05,3.991140000000000243e-01
7.989480000000000626e-05,4.043820000000000192e-01
8.241989999999999332e-05,4.094860000000000166e-01
8.502159999999999926e-05,4.144280000000000186e-01
8.770250000000000268e-05,4.192150000000000043e-01
9.046490000000000184e-05,4.238540000000000085e-01
9.331149999999999590e-05,4.283500000000000085e-01
9.624490000000000410e-05,4.327099999999999835e-01
9.926790000000000548e-05,4.369430000000000258e-01
1.023829999999999987e-04,4.410549999999999748e-01
1.055940000000000058e-04,4.450529999999999764e-01
1.089029999999999973e-04,4.489440000000000097e-01
1.123129999999999935e-04,4.527360000000000273e-01
1.158270000000000008e-04,4.564349999999999796e-01
1.194500000000000032e-04,4.600469999999999837e-01
1.231829999999999893e-04,4.635799999999999921e-01
1.270309999999999972e-04,4.670380000000000087e-01
1.309969999999999928e-04,4.704280000000000128e-01
1.350850000000000119e-04,4.737540000000000084e-01
1.392990000000000092e-04,4.770229999999999748e-01
1.436429999999999933e-04,4.802379999999999982e-01
1.481200000000000116e-04,4.834040000000000004e-01
1.527339999999999915e-04,4.865240000000000120e-01
1.574910000000000003e-04,4.896039999999999837e-01
1.623949999999999927e-04,4.926459999999999728e-01
1.674489999999999887e-04,4.956539999999999835e-01
1.726590000000000015e-04,4.986309999999999909e-01
1.780300000000000014e-04,5.015789999999999971e-01
1.835670000000000129e-04,5.045009999999999772e-01
1.892739999999999906e-04,5.073999999999999622e-01
1.951570000000000019e-04,5.102780000000000094e-01
2.012220000000000057e-04,5.131360000000000365e-01
2.074739999999999994e-04,5.159780000000000477e-01
2.139200000000000118e-04,5.188040000000000429e-01
2.205639999999999977e-04,5.216159999999999686e-01
2.274130000000000129e-04,5.244149999999999645e-01
2.344740000000000051e-04,5.272040000000000060e-01
2.417529999999999874e-04,5.299829999999999819e-01
2.492570000000000159e-04,5.327530000000000321e-01
2.569930000000000109e-04,5.355149999999999633e-01
2.649679999999999744e-04,5.382710000000000550e-01
2.731890000000000165e-04,5.410209999999999742e-01
2.816650000000000078e-04,5.437659999999999716e-01
2.904019999999999887e-04,5.465069999999999650e-01
2.994100000000000082e-04,5.492449999999999832e-01
3.086960000000000138e-04,5.519789999999999974e-01
3.182700000000000004e-04,5.547119999999999829e-01
3.281390000000000240e-04,5.574430000000000218e-01
3.383139999999999867e-04,5.601720000000000033e-01
3.488039999999999760e-04,5.629009999999999847e-01
3.596180000000000253e-04,5.656290000000000484e-01
3.707669999999999824e-04,5.683570000000000011e-01
3.822599999999999891e-04,5.710859999999999825e-01
3.941090000000000175e-04,5.738159999999999927e-01
4.063250000000000238e-04,5.765460000000000029e-01
4.189190000000000188e-04,5.792789999999999884e-01
4.319029999999999744e-04,5.820130000000000026e-01
4.452880000000000098e-04,5.847480000000000455e-01
4.590880000000000199e-04,5.874869999999999814e-01
4.733140000000000155e-04,5.902269999999999461e-01
4.879810000000000159e-04,5.929710000000000258e-01
5.031019999999999546e-04,5.957179999999999698e-01
5.186919999999999595e-04,5.984680000000000000e-01
5.347629999999999485e-04,6.012210000000000054e-01
5.513319999999999723e-04,6.039780000000000149e-01
5.684140000000000503e-04,6.067390000000000283e-01
5.860250000000000008e-04,6.095049999999999635e-01
6.041809999999999672e-04,6.122739999999999849e-01
6.228990000000000004e-04,6.150489999999999569e-01
6.421969999999999502e-04,6.178280000000000438e-01
6.620919999999999757e-04,6.206129999999999702e-01
6.826030000000000509e-04,6.234020000000000117e-01
7.037490000000000412e-04,6.261980000000000324e-01
7.255500000000000447e-04,6.289989999999999748e-01
7.480250000000000354e-04,6.318059999999999787e-01
7.711970000000000500e-04,6.346199999999999619e-01
7.950859999999999699e-04,6.374410000000000354e-01
8.197150000000000486e-04,6.402679999999999483e-01
8.451059999999999822e-04,6.431029999999999802e-01
8.712830000000000401e-04,6.459449999999999914e-01
8.982709999999999653e-04,6.487950000000000106e-01
9.260950000000000432e-04,6.516530000000000378e-01
9.547800000000000167e-04,6.545189999999999619e-01
9.843540000000000015e-04,6.573940000000000339e-01
1.014839999999999926e-03,6.602789999999999493e-01
1.046279999999999910e-03,6.631730000000000125e-01
1.078680000000000047e-03,6.660770000000000302e-01
1.112090000000000040e-03,6.689910000000000023e-01
1.146539999999999929e-03,6.719159999999999577e-01
1.182050000000000028e-03,6.748520000000000074e-01
