y,mut
0.000000000000000000e+00,0.000000000000000000e+00
5.000000001000000519e-07,5.479368383999999865e-09
1.000465154999999906e-06,8.783395879999999768e-08
1.501861053000000038e-06,4.460426689000000144e-07
2.004654148000000165e-06,1.415847268999999903e-06
2.509312192999999923e-06,3.475974934000000180e-06
3.016304675999999840e-06,7.256975731000000307e-06
3.526103259000000072e-06,1.355280781000000024e-05
4.039182211000000174e-06,2.333534460999999984e-05
4.556018855999999876e-06,3.777202212000000168e-05
5.077094011999999938e-06,5.824689092000000310e-05
5.602892439000000383e-06,8.638538767999999392e-05
6.133903294999999612e-06,1.240831949999999910e-04
6.670620584000000264e-06,1.735396172999999957e-04
7.213543618000000094e-06,2.372959639999999942e-04
7.763177485999999493e-06,3.182795028999999974e-04
8.320033518000000635e-06,4.198536217999999779e-04
8.884629760999999460e-06,5.458749220000000141e-04
9.457491464999999510e-06,7.007580607000000409e-04
1.003915156999999982e-05,8.895492605000000471e-04
1.063015119999999947e-05,1.118009514999999997e-03
1.123104016999999952e-05,1.392708647999999893e-03
1.184237749000000062e-05,1.721131507000000019e-03
1.246473189000000055e-05,2.111797727000000024e-03
1.309868236000000001e-05,2.574396664000000012e-03
1.374481867000000027e-05,3.119939250999999823e-03
1.440374193000000011e-05,3.760928721999999905e-03
1.507606512999999989e-05,4.511552375999999635e-03
1.576241374999999933e-05,5.387896696000000346e-03
1.646342630000000159e-05,6.408188436999999980e-03
1.717975494999999882e-05,7.593064457000000406e-03
1.791206608999999959e-05,8.965873356999999946e-03
1.866104102000000156e-05,1.055301217999999978e-02
1.942737649999999873e-05,1.238430167000000026e-02
2.021178546999999936e-05,1.449340388999999923e-02
2.101499767000000147e-05,1.691828600000000113e-02
2.183776033000000110e-05,1.970173436000000056e-02
2.268083889000000001e-05,2.289192321000000155e-02
2.354501766000000084e-05,2.654304199999999933e-02
2.443110060000000023e-05,3.071598577999999982e-02
2.533991203999999989e-05,3.547911253000000237e-02
2.627229745999999969e-05,4.090907113000000206e-02
2.722912427000000090e-05,4.709170322999999686e-02
2.821128260999999896e-05,5.412302137999999707e-02
2.921968618999999919e-05,6.211026462000000109e-02
3.025527314999999835e-05,7.117303165999999681e-02
3.131900689000000055e-05,8.144448935999999695e-02
3.241187703000000038e-05,9.307265235999999387e-02
3.353490025999999856e-05,1.062217263999999939e-01
3.468912135999999748e-05,1.210735042999999955e-01
3.587561410000000248e-05,1.378287994999999877e-01
3.709548227999999670e-05,1.567088957999999976e-01
3.834986078000000067e-05,1.779569886000000045e-01
3.963991652999999764e-05,2.018395816999999925e-01
4.096684971000000064e-05,2.286478016999999863e-01
4.233189477000000067e-05,2.586985789999999841e-01
4.373632161000000026e-05,2.923356395000000219e-01
4.518143681000000197e-05,3.299302411000000212e-01
4.666858475000000236e-05,3.718815812999999859e-01
4.819914895999999875e-05,4.186167968000000239e-01
4.977455332000000205e-05,4.705904699999999830e-01
5.139626345999999868e-05,5.282835570999999675e-01
5.306578806999999866e-05,5.922016518999999590e-01
5.478468031999999719e-05,6.628725105999999645e-01
5.655453931000000003e-05,7.408427694000000452e-01
5.837701156999999715e-05,8.266738110000000361e-01
6.025379255999999741e-05,9.209367585000000078e-01
6.218662826999999370e-05,1.024206606999999991e+00
6.417731682999999905e-05,1.137055544999999945e+00
6.622771020999999652e-05,1.260045560000000009e+00
6.833971589000000131e-05,1.393720464000000048e+00
7.051529870999999783e-05,1.538597546000000094e+00
7.275648263999999336e-05,1.695159062999999966e+00
7.506535265999999857e-05,1.863843874999999928e+00
7.744405673999999959e-05,2.045039504000000008e+00
7.989480781999999779e-05,2.239074972000000052e+00
8.241988585000000107e-05,2.446214707000000210e+00
8.502163993999999633e-05,2.666653853000000129e+00
8.770249052999999607e-05,2.900515217000000145e+00
9.046493164000000227e-05,3.147848081999999881e+00
9.331153319999999605e-05,3.408628988999999887e+00
9.624494342999999753e-05,3.682764527999999871e+00
9.926789131000000551e-05,3.970096099000000045e+00
1.023831890999999940e-04,4.270406455999999906e+00
1.055937350999999990e-04,4.583427835000000172e+00
1.089025159000000018e-04,4.908851334000000399e+00
1.123126099000000018e-04,5.246337192000000371e+00
1.158271895000000025e-04,5.595525592999999631e+00
1.194495242000000044e-04,5.956047598999999693e+00
1.231829841000000041e-04,6.327535840000000356e+00
1.270310424000000121e-04,6.709634634000000375e+00
1.309972789000000113e-04,7.102009256999999742e+00
1.350853834999999974e-04,7.504354149000000085e+00
1.392991594999999953e-04,7.916399904999999571e+00
1.436425268000000031e-04,8.337918972000000650e+00
1.481195262999999963e-04,8.768730036999999200e+00
1.527343228999999969e-04,9.208701126999999431e+00
1.574912097999999914e-04,9.657751522999999949e+00
1.623946123999999911e-04,1.011585256999999949e+01
1.674490922999999885e-04,1.058302755000000062e+01
1.726593517999999944e-04,1.105935075000000012e+01
1.780302381000000041e-04,1.154494582000000058e+01
1.835667477000000019e-04,1.203998372999999944e+01
1.892740312999999903e-04,1.254468023000000088e+01
1.951573985000000088e-04,1.305929309999999965e+01
2.012223227000000010e-04,1.358411931999999922e+01
2.074744460000000062e-04,1.411949208999999961e+01
2.139195848000000066e-04,1.466577788999999932e+01
2.205637352999999874e-04,1.522337369999999979e+01
2.274130783999999924e-04,1.579270421000000013e+01
2.344739862999999948e-04,1.637421931000000086e+01
2.417530276999999960e-04,1.696839164000000011e+01
2.492569743999999772e-04,1.757571447000000120e+01
2.569928073999999891e-04,1.819669959999999875e+01
2.649677234000000171e-04,1.883187557999999839e+01
2.731891416000000253e-04,1.948178605000000019e+01
