variables="x","y","mut"
zone, t="CFL3D"
 9.701266289E-01 2.499999994E-07 2.367835745E-12
 9.701266289E-01 7.502325730E-07 3.560140516E-10
 9.701266289E-01 1.251163098E-06 6.607435488E-09
 9.701266289E-01 1.753257607E-06 4.718368274E-08
 9.701266289E-01 2.256983180E-06 2.034652340E-07
 9.701266289E-01 2.762808435E-06 6.477795296E-07
 9.701266289E-01 3.271203923E-06 1.688271482E-06
 9.701266289E-01 3.782642807E-06 3.821399787E-06
 9.701266289E-01 4.297600753E-06 7.793419172E-06
 9.701266289E-01 4.816556611E-06 1.467258153E-05
 9.701266289E-01 5.339993095E-06 2.593410500E-05
 9.701266289E-01 5.868397693E-06 4.356028512E-05
 9.701266289E-01 6.402261988E-06 7.015840674E-05
 9.701266289E-01 6.942082109E-06 1.090995283E-04
 9.701266289E-01 7.488360552E-06 1.646814198E-04
 9.701266289E-01 8.041605724E-06 2.423192200E-04
 9.701266289E-01 8.602331945E-06 3.487679642E-04
 9.701266289E-01 9.171060810E-06 4.923808156E-04
 9.701266289E-01 9.748321645E-06 6.834070664E-04
 9.701266289E-01 1.033465105E-05 9.343345300E-04
 9.701266289E-01 1.093059564E-05 1.260279212E-03
 9.701266289E-01 1.153670928E-05 1.679426408E-03
 9.701266289E-01 1.215355496E-05 2.213523956E-03
 9.701266289E-01 1.278170748E-05 2.888428513E-03
 9.701266289E-01 1.342175074E-05 3.734704806E-03
 9.701266289E-01 1.407428044E-05 4.788267892E-03
 9.701266289E-01 1.473990324E-05 6.091068033E-03
 9.701266289E-01 1.541924030E-05 7.691792678E-03
 9.701266289E-01 1.611291918E-05 9.646582417E-03
 9.701266289E-01 1.682159018E-05 1.201971993E-02
 9.701266289E-01 1.754590994E-05 1.488427166E-02
 9.701266289E-01 1.828655331E-05 1.832263730E-02
 9.701266289E-01 1.904420787E-05 2.242696844E-02
 9.701266289E-01 1.981958121E-05 2.729940414E-02
 9.701266289E-01 2.061339183E-05 3.305208310E-02
 9.701266289E-01 2.142637823E-05 3.980688006E-02
 9.701266289E-01 2.225929893E-05 4.769481346E-02
 9.701266289E-01 2.311292883E-05 5.685516447E-02
 9.701266289E-01 2.398805918E-05 6.743419170E-02
 9.701266289E-01 2.488550672E-05 7.958360761E-02
 9.701266289E-01 2.580610453E-05 9.345866740E-02
 9.701266289E-01 2.675071119E-05 1.092162430E-01
 9.701266289E-01 2.772020343E-05 1.270125657E-01
